
batch 100, time:0.050, loss: 35442.4375, mean_absolute_error: 122.0894
batch 200, time:0.050, loss: 30307.0312, mean_absolute_error: 109.9913
batch 300, time:0.054, loss: 29003.4590, mean_absolute_error: 103.7975
batch 400, time:0.054, loss: 30578.3945, mean_absolute_error: 108.9298
batch 500, time:0.051, loss: 29793.2539, mean_absolute_error: 104.6636
batch 600, time:0.049, loss: 29958.8301, mean_absolute_error: 103.4720
batch 700, time:0.060, loss: 29830.7930, mean_absolute_error: 104.1987
batch 800, time:0.051, loss: 28633.2207, mean_absolute_error: 100.4541
batch 900, time:0.051, loss: 28879.7754, mean_absolute_error: 103.3999
batch 1000, time:0.052, loss: 28078.2734, mean_absolute_error: 100.3283
batch 1100, time:0.059, loss: 28211.1875, mean_absolute_error: 99.4701
batch 1200, time:0.055, loss: 30339.1270, mean_absolute_error: 104.4842
batch 1300, time:0.062, loss: 29209.3379, mean_absolute_error: 102.2830
batch 1400, time:0.050, loss: 29098.8203, mean_absolute_error: 101.8419
batch 1500, time:0.063, loss: 29917.5391, mean_absolute_error: 101.7648
batch 1600, time:0.060, loss: 30140.0957, mean_absolute_error: 103.4314
batch 1700, time:0.049, loss: 29629.2148, mean_absolute_error: 101.9306
batch 1800, time:0.057, loss: 29258.8203, mean_absolute_error: 102.7282
batch 1900, time:0.056, loss: 28660.3828, mean_absolute_error: 99.8338
batch 2000, time:0.050, loss: 28640.7188, mean_absolute_error: 100.0627
batch 2100, time:0.052, loss: 29380.2715, mean_absolute_error: 101.7802
batch 2200, time:0.059, loss: 29216.2148, mean_absolute_error: 101.4545
batch 2300, time:0.079, loss: 29336.6133, mean_absolute_error: 100.4214
batch 2400, time:0.051, loss: 29201.6445, mean_absolute_error: 100.6469
batch 2500, time:0.054, loss: 29441.9531, mean_absolute_error: 100.9872
batch 2600, time:0.053, loss: 27514.6875, mean_absolute_error: 97.0346
batch 2700, time:0.054, loss: 28661.3516, mean_absolute_error: 100.0370
batch 2800, time:0.053, loss: 28619.4727, mean_absolute_error: 99.0611
batch 2900, time:0.050, loss: 29056.3652, mean_absolute_error: 101.3766
batch 3000, time:0.051, loss: 30628.4375, mean_absolute_error: 103.0262
batch 3100, time:0.059, loss: 31009.4902, mean_absolute_error: 103.5134
batch 3200, time:0.058, loss: 28258.2832, mean_absolute_error: 99.3380
batch 3300, time:0.048, loss: 28716.8418, mean_absolute_error: 100.0365
batch 3400, time:0.051, loss: 31019.6094, mean_absolute_error: 104.3946
batch 3500, time:0.055, loss: 29325.0176, mean_absolute_error: 101.1200
batch 3600, time:0.050, loss: 29091.8652, mean_absolute_error: 100.2986
batch 3700, time:0.050, loss: 29420.1758, mean_absolute_error: 101.4436
batch 3800, time:0.047, loss: 31549.8379, mean_absolute_error: 105.7582
batch 3900, time:0.055, loss: 30134.0664, mean_absolute_error: 102.4617
batch 4000, time:0.057, loss: 28579.7598, mean_absolute_error: 99.6755
batch 4100, time:0.057, loss: 28572.5840, mean_absolute_error: 99.4279
batch 4200, time:0.055, loss: 29350.7773, mean_absolute_error: 100.2944
batch 4300, time:0.052, loss: 29219.6348, mean_absolute_error: 100.4941
batch 4400, time:0.052, loss: 29280.6270, mean_absolute_error: 99.9512
batch 4500, time:0.062, loss: 30248.5918, mean_absolute_error: 101.9098
batch 4600, time:0.052, loss: 29058.0000, mean_absolute_error: 99.9162
batch 4700, time:0.048, loss: 29873.8730, mean_absolute_error: 101.6570
batch 4800, time:0.053, loss: 28893.7988, mean_absolute_error: 99.0727
batch 4900, time:0.049, loss: 28813.6660, mean_absolute_error: 99.5655
batch 5000, time:0.050, loss: 29842.5430, mean_absolute_error: 101.2418
batch 5100, time:0.056, loss: 28853.7188, mean_absolute_error: 99.1867
batch 5200, time:0.049, loss: 29122.5605, mean_absolute_error: 100.2262
batch 5300, time:0.049, loss: 28095.3457, mean_absolute_error: 98.4371
